"Leeg";"website";"lng";"Straat";"huisnr";"Postcode";"busnr";"Gemeente";"Tekst";"categorie";"Wat";"Id";"Naam";"Label";"lat";
"";"www.herbertfoundation.org ";"3.709694";"Coupure Links";"627 A";"9000";"";"Gent";"";"Privé Collectie";""De Herbert Foundation is een private stichting voor hedendaagse kunst die de Collectie en het Archief omvat van Annick en Anton Herbert. <br/>Opgebouwd rond de historische data 1968 en 1989 omvat de Collectie werk van ondermeer Marcel Broodthaers, Bruce Nauman, Dan Graham, Mike Kelley, Franz West, Thomas Schütte en Martin Kippenberger. <br/>"";"20";"Herbert Foundation";"";"51.05184";
"";"www.mskgent.be  ";"3.7192783";"Citadelpark";"";"9000";"";"Gent";"";"Museum";"De verzameling van het Museum voor Schone Kunsten van Gent omvat schilder- en beeldhouwkunst alsook tekeningen en grafische werken van de Middeleeuwen tot de eerste helft van de 20e eeuw, gepresenteerd  in een bijzonder mooi gebouw. Naast een grondig overzicht van de moderne Belgische kunst, van romantiek tot surrealisme, toont het museum ook de internationale context.";"21";"Museum voor Schone Kunsten";"";"51.037457";
"";"www.smak.be  ";"3.7192783";"Citadelpark";"";"9000";"";"Gent";"";"Museum";"Het Gentse Stedelijk Museum voor Actuele Kunst is hét toonaangevende museum voor actuele kunst in zowel binnen- als buitenland. Het S.M.A.K. biedt een overzicht van de (inter)nationale kunst van 1945 tot heden. Via een dynamisch tentoonstellingsbeleid  wordt de vaste collectie in dialoog gebracht met tijdelijke tentoonstellingen. ";"22";"S.M.A.K.";"";"51.037457";
"";"www.designmuseumgent.be  ";"3.7195613";"Jan Breydelstraat";"5";"9000";"";"Gent";"";"Museum";"Het Design museum Gent is uniek in Vlaanderen. Een intrigerende designcollectie wordt er gepresenteerd in een modern, licht en ruim gebouw. De art-nouveaucollectie is top! Er is ook ruimte voor vormgeving uit het interbellum en voor moderne en hedendaagse vormgeving. Een motor van Philippe Starck, een interieur van Henry van de Velde, een .03 van Maarten Van Severen … U komt ogen te kort!";"23";"Design museum";"";"51.05576";
"";"www.museumdrguislain.be ";"3.7030945";"Jozef Guislainstraat ";"43";"9000";"";"Gent";"";"Museum";"Het Museum Dr. Guislain bevindt zich in de oude gebouwen van het eerste psychiatrische ziekenhuis van België. Het toont een vaste, medisch-historische presentatie met de focus op de geschiedenis van de psychiatrie. Daarnaast bezit het een internationale collectie outsiderkunst of ‘art brut’. In grote tijdelijke tentoonstellingen krijgen waan, wetenschap en kunst een aparte belichting, met als rode draad steeds de fascinatie voor het andere";"24";"Museum Dr. Guislain";"";"51.066277";
"";"www.paviljoen.org   ";"3.7161126";"Louis Pasteurlaan ";"2";"9000";"";"Gent";"";"Off-Spaces";""Het Paviljoen is een nieuw samenwerkingsproject tussen het Hoger Instituut voor Schone Kunsten (HISK), de School of Arts van de Hogeschool Gent en het Stedelijk Museum voor Actuele Kunst (S.M.A.K.), dat plaatsvindt in en rond het glazen paviljoen in de voortuin van het gebouw Cloquet op de Bijlokesite. <br/>Het is een ontmoetingsplek en laboratorium waar jonge posities in het hedendaagse kunstenveld nieuwe samenwerkingsverbanden aangaan en binnen een professionele omkadering werk presenteren. HISK, KASK en S.M.A.K. zien de mogelijkheid om hun afzonderlijke werking en expertise samen te brengen in een unieke constellatie, wat zal leiden tot een concrete en zichtbare aanwezigheid in het Gentse en Belgische culturele veld.<br/>"";"25";"Het Paviljoen";"";"51.046017";
"";"www.private-room.be ";"3.6974366";"Rooigemlaan ";"33";"9000";"";"Gent";"";"Off-Spaces";""Private Room brengt kleinschalige solotentoonstellingen van jonge kunstenaars in de private woonst van de initiatiefnemers.<br/>Zo wil zij als experimenteel platform 'achter gesloten deuren' de kunstenaar in intiem dialoog brengen met een publiek zonder drempelvrees.<br/>"";"26";"Private Room";"";"51.05417";
"";"www.husetgent.be ";"3.7131817";"Hoogstraat";"49";"9000";"";"Gent";"";"Off-Spaces";"Huset is Zweeds voor het huis. Een huis waar plaats is voor vriendschap, gezelligheid, kunst, creativiteit en inspiratie. We organiseren samen met kunstenaars en enthousiastelingen tentoonstellingen, muziek-avonden en evenementen die passen in ons huis, ons HUSET.";"27";"HUSET";"";"51.054848";
"";"www.nvtgalerie.be   ";"3.7348819";"Dampoortstraat";"26";"9000";"";"Gent";"";"Off-Spaces";"Kunstgalerie zonder poespas. NVT Galerie is een ietwat eigenzinnige galerie aan de Gentse stadsrand welke jonge artiesten de kans geeft met hun werk naar buiten te komen. NVT Galerie is iedere vrijdagavond open van 19.00u tot 23.00u.";"28";"NVT Galerie";"";"51.05671";
"";"www.019-ghent.org    ";"3.7338822";"Dok Noord";"5L";"9000";"";"Gent";"";"Off-Spaces";"019 is een door artiesten en ontwerpers georganiseerde concert-, tentoonstelling- en werkruimte in een voormalige lasfabriek in de historische Gentse haven. 019 maakt een fysieke verbinding tussen productie en presentatie, met een focus op experiment. 019 legt de nadruk op locale en internationale artiesten, ontwerpers, componisten en collectieven die het potentieel in en rond het gebouw onderzoeken.  ";"29";"Smoke & Dust - 019";"";"51.06607";
"";"www.thesethingstaketime.be ";"3.7215786";"Nederkouter";"36";"9000";"";"Gent";"";"Off-Spaces";"These Things Take Time is een nieuw kunstenplatform in Gent dat een aanvulling wil brengen op de bestaande culturele infrastructuur in de stad. De focus ligt op wat een ruimte kan betekenen voor de kunstenaar of zijn werk. Door samenwerkingen aan te gaan en verschillende disciplines te betrekken, wil TTTT een levendige plek zijn waar niet alleen de mogelijkheden van de tentoonstellingsruimte afgetast worden, maar ook de beleving en het evenementiële centraal staan.";"30";"These Things Take Time (TTTT)";"";"51.047665";
"";"www.facebook.com/zwartwild ";"3.6985188";"Meibloemstraat";"14";"9000";"";"Gent";"";"Off-Spaces";"Zwart Wild vzw is een groep vrijwilligers en kunstenaars die 500 m² expositieruimte laagdrempelig ter beschikking stelt in de voormalige meubelfabriek in de Brugse Poort. Het salon met podium staat ter beschikking voor muzikale en andere live acts. We streven ernaar een ontmoetingsplek te zijn waardoor we samenwerkingen en groepsexposities aanmoedigen. Het salon houden we twee-wekelijks open waar expo's, optredens en acts samen gaan met een pintje en een volkskeuken.";"31";"Zwart Wild";"";"51.05838";
"";"www.elsjacobs.be ";"3.7293537";"Nieuwland ";"1";"9000";"";"Gent";"";"Off-spaces";"Entrevue, een gesprek tussen textielontwerper en kunstenaar. Een jaar lang kan men deze ontmoetingen volgen, driemaandelijks wordt er een onderdeel van hun werk belicht.";"32";"vitrine/atelier Els Jacobs";"";"51.06025";
